BD,Address,Address2
ATB CAPITAL MARKETS USA INC.,"#410, 585 8TH AVENUE SW, CALGARY, T2P 1G1 CANADA",
AUSTIN ATLANTIC CAPITAL INC.,"1 ALHAMBRA PLAZA, SUITE 100, CORAL GABLES, FL 33134","1 ALHAMBRA PLAZA, SUITE 100, MIAMI, FL 33134"
NINTH ETERNITY SECURITIES LLC,"1 BROADWAY, 14TH FLOOR, CAMBRIDGE, MA 02142",
DEUTSCHE BANK SECURITIES INC.,"1 COLUMBUS CIRCLE, NEW YORK, NY 10019",
UNION SQUARE ADVISORS LLC,"1 EMBARCADERO CENTER, SUITE 950, SAN FRANCISCO, CA 94111",
"ETC BROKERAGE SERVICES, LLC","1 EQUITY WAY, WESTLAKE, OH 44145",
NICOL INVESTORS CORPORATION,"1 EXECUTIVE PARK, GRANITE CITY, IL 62040-0907","1 EXECUTIVE PARK, P.O. BOX 907, GRANITE CITY, IL 62040-0907"
"US CAPITAL GLOBAL SECURITIES, LLC","1 FERRY BUILDING, SUITE 201, SAN FRANCISCO, CA 94111",
"FIRST COMMAND BROKERAGE SERVICES, INC.","1 FIRSTCOMM PLAZA, FORT WORTH, TX 76109","P.O. BOX 2387, FORT WORTH, TX 76113"
"HUBBLE INVESTMENTS, LLC","1 FRANKLIN PARKWAY, BLDG # 930 /1 - FINTECH SUITE, SAN MATEO, CA 94403",
FTP SECURITIES LLC,"1 FRONT STREET, 31ST FLOOR, SAN FRANCISCO, CA 94111",
"VISION ONE PARTNERS, LLC","1 GRACIE SQUARE, NEW YORK, NY 10028",
ALIRA HEALTH,"1 GRANT STREET, FRAMINGHAM, MA 01702-6758",
"TALCOTT RESOLUTION DISTRIBUTION COMPANY, INC.","1 GRIFFIN ROAD NORTH, WINDSOR, CT 06095","1 GRIFFIN ROAD NORTH, LAW DEPARTMENT MAILSTOP S3001, WINDSOR, CT 06095"
MONTROSE SECURITIES INTERNATIONAL,"1 HARBOR DRIVE, SUITE 300, SAUSALITO, CA 94965",
"MANOR PRIVATE CAPITAL, LLC","1 HARBOR POINT ROAD, SUITE 800, STAMFORD, CT 06902",
BITOODA TECHNOLOGIES LLC,"1 HOME PLACE, UNIT A, GREENWICH, CT 06830",
BRONSON FINANCIAL LLC,"1 JENNER, SUITE 200, IRVINE, CA 92618",
"FLI INVESTORS, LLC","1 JERICHO PLAZA - SUITE 201, JERICHO, NY 11753-1673","1 JERICHO PLAZA - SUITE 201, JERICHO, NY 11753-1673"
"M&T SECURITIES, INC.","1 LIGHT STREET, BALTIMORE, MD 21202",
BRIGHTON HOUSE ASSOCIATES,"1 LINCOLN STREET, 24TH FLOOR, BOSTON, MA 02111",
OLD MISSION MARKETS LLC,"1 N. DEARBORN ST., 8TH FLOOR, CHICAGO, IL 60602",
PRICEWATERHOUSECOOOPERS CORPORATE FINANCE LLC,"1 N. WACKER DRIVE, 6TH FLOOR, CHICAGO, IL 60606",
M2O PRIVATE FUND ADVISORS LLC,"1 NORTH LEXINGTON AVE, SUITE 500, WHITE PLAINS, NY 10601",
"INTEGRITY FUNDS DISTRIBUTOR, LLC","1 NORTH MAIN STREET, MINOT, ND 58703-3189","PO BOX 500, MINOT, ND 58702-0500"
"WWF SECURITIES, LLC","1 PARK AVENUE, APT #1707, DETROIT, MI 48226",
LIME TRADING CORP,"1 PENN PLAZA, 16TH FL, NEW YORK, NY 10119",
TIFIN PRIVATE MARKETS LLC,"1 PENNSYLVANIA PLAZA, FL 39, NEW YORK, NY 10119",
"PRIMERICA BROKERAGE SERVICES, INC.","1 PRIMERICA PARKWAY, DULUTH, GA 30099",
PFS INVESTMENTS INC.,"1 PRIMERICA PARKWAY, DULUTH, GA 30099-0001",
EUROLINK SECURITIES LLC,"1 RADISSON PLAZA - SUITE 701, NEW ROCHELLE, NY 10801",
BTCO SECURITIES LLC,"1 ROCKEFELLER PLAZA, 28TH FLOOR, NEW YORK, NY 10020","1 ROCKEFELLER PLAZA, NEW YORK, NY 10020"
"FELDSTEIN FINANCIAL GROUP, LLC","1 SHADOWBROOK LANE, BASKING RIDGE, NJ 07920",
OASIS PRO MARKETS LLC,"1 THORNDAL CIRCLE, DARIEN, CT 06820",
TD PRIVATE CLIENT WEALTH LLC,"1 VANDERBILT AVENUE, 22ND FLOOR, NEW YORK, NY 10017",
TCG CAPITAL MARKETS L.L.C.,"1 VANDERBILT AVENUE, SUITE 3400, NEW YORK, NY 10017",
"CC CAPITAL ADVISORS, INC.","1 WARD PARKWAY, KANSAS CITY, MO 64112","P.O. BOX 410889, KANSAS CITY, MO 64141"
MARV CAPITAL INC.,"1 WEST END AVENUE, SUITE 11D, NEW YORK, NY 10023",
INTESA SANPAOLO IMI SECURITIES CORP.,"1 WILLIAM STREET, NEW YORK, NY 10004",
"CARTA CAPITAL MARKETS, LLC","1 WORLD TRADE CENTER, 285 FULTON STREET, 81ST FLOOR, NEW YORK, NY 10007",
PELOTON SECURITIES LLC,"10 COMMERCIAL ALLEY, SUITE 4, PORTSMOUTH, NH 03801",
"FUNDOPOLIS SECURITIES, LLC","10 CONVERSE PLACE, FLOOR 2- AD MELIORA SUITE, WINCHESTER, MA 01890",
CORPORATE FUEL SECURITIES LLC,"10 EAST 40TH STREET, SUITE 3210, NEW YORK, NY 10016",
"CHURCHILL CAPITAL USA, INC.","10 EAST 53RD STREET, 17TH FLOOR, NEW YORK, NY 10022",
OSCAR GRUSS & SON INCORPORATED,"10 EAST 53RD STREET, 17TH FLOOR, NEW YORK, NY 10022",
INVESTEC SECURITIES (US) LLC,"10 EAST 53RD STREET, 22ND FLOOR, NEW YORK, NY 10022","10 EAST 53RD STREET, 22ND FLOOR, NEW YORK, NY 10022"
SHELTER ROCK CAPITAL GROUP LLC,"10 EAST 53RD, SUITE 1200, NEW YORK, NY 10022",
"ROYAL ALLIANCE ASSOCIATES, INC.","10 EXCHANGE PLACE, SUITE 1410, JERSEY CITY, NJ 07302",
